id,date,timestamp,music genre,activity,mood before,mood after,sleep,notes (optional),,,,
1,03/12/2025,17:30:00,Hip-Hop/Rap,Read,2,4,9.5,,,,,
2,03/12/2025,17:30:00,Pop,Read,2,4,9.5,,,,,
3,03/12/2025,17:30:00,Rock,Read,2,4,9.5,,,,,
4,03/12/2025,17:30:00,OPM,Read,2,4,9.5,,,Mood levels:,,
5,03/12/2025,20:32:00,Pop,Rest,3,3,9.5,,,1,Very Negative,"sad, stressed, drained, anxious, low energy"
6,03/12/2025,21:15:00,Indie Pop,Read,3,4,9.5,,,2,Slightly Negative,"tired, unfocused, irritated, bored"
7,03/12/2025,22:00:00,Indie Pop,Code,4,4,9.5,,,3,Neutral,"okay, normal, happy / sad"
8,03/12/2025,23:26:00,Rock,Code,4,4,9.5,,,4,Slightly Positive,"good mood, calm, productive, lightly happy"
9,04/12/2025,8:11:00,EDM,Exercise,4,5,5.5,,,5,Very Positive,"very happy, excited, energetic, motivated, uplifted"
10,04/12/2025,9:50:00,Indie Pop,Rest,4,4,5.5,,,,,
11,04/12/2025,11:22:00,Indie Pop,Commute,4,4,5.5,,,,,
12,04/12/2025,15:18:00,Pop,Commute,4,4,5.5,,,Activities:,,
13,04/12/2025,15:18:00,OPM,Commute,4,4,5.5,,,Read,,
14,04/12/2025,15:18:00,R&B,Commute,4,4,5.5,,,Code,,
15,04/12/2025,15:18:00,Rock,Commute,4,4,5.5,,,Rest,,
16,04/12/2025,17:48:00,Indie Pop,Commute,3,2,5.5,,,Commute,,
17,04/12/2025,17:48:00,Pop,Commute,3,2,5.5,,,Exercise,,
18,04/12/2025,17:48:00,OPM,Commute,3,2,5.5,,,Clean,,
19,04/12/2025,17:48:00,R&B,Commute,3,2,5.5,,,Work,,
20,04/12/2025,17:48:00,Rock,Commute,3,2,5.5,,,Shower,,
21,05/12/2025,14:39:00,R&B,Shower,5,5,9,nostalgic,,Prepare,,
22,05/12/2025,14:39:00,OPM,Shower,5,5,9,nostalgic,,Walk,,
23,05/12/2025,14:39:00,Pop,Shower,5,5,9,nostalgic,,,,
24,05/12/2025,14:54:00,R&B,Prepare,5,5,9,nostalgic,,,,
25,05/12/2025,14:54:00,OPM,Prepare,5,5,9,nostalgic,,,,
26,05/12/2025,14:54:00,Pop,Prepare,5,5,9,nostalgic,,,,
27,05/12/2025,16:00:00,Pop,Commute,4,4,9,,,,,
28,05/12/2025,16:00:00,OPM,Commute,4,4,9,,,,,
29,05/12/2025,16:00:00,R&B,Commute,4,4,9,,,,,
30,05/12/2025,16:00:00,Rock,Commute,4,4,9,,,,,
31,05/12/2025,19:51:00,R&B,Commute,3,4,9,,,,,
32,06/12/2025,12:45:00,R&B,Commute,4,5,9.3,,,,,
33,06/12/2025,12:45:00,Pop,Commute,4,5,9.3,,,,,
34,06/12/2025,12:45:00,Rock,Commute,4,5,9.3,,,,,
35,06/12/2025,16:03:00,Pop,Walk,5,5,9.3,,,,,
36,06/12/2025,16:03:00,OPM,Walk,5,5,9.3,,,,,
37,06/12/2025,16:03:00,Rock,Walk,5,5,9.3,,,,,
38,06/12/2025,21:03:00,Pop,Commute,3,3,9.3,,,,,
39,06/12/2025,21:03:00,OPM,Commute,3,3,9.3,,,,,
40,06/12/2025,21:03:00,Rock,Commute,3,3,9.3,,,,,
